onboard,display_name,platform_name,base_path,description,short_description,domains,oncall_channel_name,oncall_channel_url,oncall_tag,stg_url,stg_concedo_client_id,stg_helix_ref,prd_url,prd_concedo_client_id,prd_helix_ref
TRUE,AIHome,aihome,/aihome,AIHome is a platform for managing AI-related tools and resources.,AI-related tools and resources,"ai_machine_learning, analytics",,,,https://aihome.grab.com/,,,https://aihome.grab.com/,,
TRUE,AIP,aip,/aip,"AI Home is a management UI for builder teams at Grab to navigate the tech ecosystem. It consolidates various platforms and tools, such as Cauldron Web, GitLab, and others, into a single interface. AI Home is designed to streamline the user experience by providing a central point for accessing and managing AI-related resources, including notebooks, jobs, and features. It aims to reduce the complexity and disjointed user experience caused by multiple overlapping platforms",Centralized management UI for AI-related resources at Grab,"ai_machine_learning, analytics",,,, https://ai-home.stg-myteksi.com/,,,https://ai-home.grab.com/,,
TRUE,Airflow,airflow,/airflow,Airflow is a platform for orchestrating complex workflows and data pipelines.,Workflow and data pipeline orchestration,"ai_machine_learning, analytics, compute",,,, https://anemoi-apt-adreporting.staging.data-engineering.myteksi.net/home,,, https://anemoi-apt-adreporting.data-engineering.myteksi.net/home,,
TRUE,API Gateway,api gateway,/api_gateway,API Gateway is a centralized API management and routing platform.,Centralized API management,networking,,,,https://grabtaxi.atlassian.net/wiki/spaces/TI/pages/337904219/1.+Grab+Gateway,,,https://grabtaxi.atlassian.net/wiki/spaces/TI/pages/337904219/1.+Grab+Gateway,,
TRUE,Artifactory,artifactory,/artifactory,Artifactory is a repository manager for storing and managing binary artifacts.,Binary artifact repository management,"containers, databases_storage",,,,https://helix.engtools.net/catalog/default/component/artifactory/docs,,,https://helix.engtools.net/catalog/default/component/artifactory/docs,,
TRUE,AWS,aws,/aws,AWS provides a suite of cloud computing services.,Cloud computing services,cloud_provider,,,,https://grab-sso.awsapps.com/start,,,https://grab-sso.awsapps.com/start,,
TRUE,CDP,cdp,/cdp,"The Customer Data Platform (CDP) at Grab is a unified system that provides a comprehensive and consistent view of users. It merges and evolves from previous systems like SegP and C360 to offer a marketplace of reliable and reusable user attributes. These attributes are essential for user personalization, targeting, and analysis. CDP supports the creation, management, and discovery of user attributes through advanced tooling, APIs, and integrations. It is widely used across Grab, with over 60 services and 9 platforms integrated, including GrabX, Trident, and Ads.","Craft Once, Consume Everywhere. A Marketplace of Reliable and Reusable User Attributes",,ask-cdp,https://grab.enterprise.slack.com/archives/C5K7ZK5P0,oncall-segmentation-platform,https://cdp.stg-myteksi.com,console-stg,platform:cdp,https://cdp.grab.com,segmentation_platform,platform:cdp
TRUE,Coban,coban,/coban,"The Coban is a platform designed to help users manage and analyze Kafka clusters and topics. It provides functionalities such as viewing business metrics, environment information, and topic configurations. Users can also manage Kafka topics, view producer/consumer details, execute FlinkSQL queries, and monitor the status of Coban pipeline deployments.",A portal for managing and monitoring Kafka clusters and topics,,ask-coban,https://grab.enterprise.slack.com/archives/C48AHCH3Q,oncall-coban,https://coban-ui.stg-myteksi.com,coban-heimdall,platform:coban,https://coban-ui.grab.com,coban-heimdall,platform:coban
TRUE,Concedo,concedo,/concedo,"Concedo is an internally built platform at Grab that provides a unified authentication and authorization service. It leverages OpenID Connect (OIDC) for Single Sign-On (SSO) purposes, allowing users to log in seamlessly across various Grab platforms. Concedo aims to streamline user access management and improve the user experience by reducing the need for multiple logins and providing a centralized authentication mechanism.",Concedo is an internally built platform at Grab that provides unified authentication and authorization services using OpenID Connect (OIDC) for Single Sign-On (SSO),identity_access,,,,https://concedo.stg-myteksi.com,,,https://iam-manage.grab.com/,,
TRUE,Conveyor,conveyor,/conveyor,Conveyor is a platform for orchestrating complex workflows and data pipelines.,Workflow and data pipeline orchestration,devops,,,,https://conveyor.myteksi.net/dashboard,,,https://conveyor.myteksi.net/dashboard,,
TRUE,Databricks,databricks,/databricks,Databricks is a data analytics platform that provides a unified analytics engine for big data and machine learning.,Unified analytics engine for big data and machine learning,"ai_machine_learning, analytics, etl",,,,https://accounts.cloud.databricks.com/,,,https://accounts.cloud.databricks.com/,,
TRUE,Datadog,datadog,/datadog,Datadog is a monitoring and security platform for cloud applications.,Monitoring and security platform for cloud applications,observability,,,,https://app.datadoghq.com/account/login/id/cJ9fPi,,,https://app.datadoghq.com/account/login/id/cJ9fPi,,
TRUE,Doorman,doorman,/doorman,Doorman is a database platform offering connectivity flows for Firefly accounts.,Database platform for connectivity flows for Firefly accounts,databases_storage,,,,https://transformer.myteksi.net,,,https://transformer.myteksi.net,,
TRUE,Genchi,genchi,/genchi,Genchi is a platform aimed to be self-served for data quality testing and alerting.,Data quality testing and alerting platform,management_governance,,,,https://one-de.prod.data-engineering.myteksi.net/genchi,,,https://one-de.prod.data-engineering.myteksi.net/genchi,,
TRUE,Gitlab,gitlab,/gitlab,GitLab is a repository hosting service for storing code and other artifacts.,Repository hosting service,"containers, devops, integration, source_code_management",,,,https://gitlab.myteksi.net/,,,https://gitlab.myteksi.net/,,
TRUE,GrabGPT,grabgpt,/grabgpt,"GrabGPT is a general-purpose productivity tool, primarily aimed at providing a user-friendly chat-based interface that allows users to generate images using text prompts. It opens up the capabilities of Generative AI to tech and non-tech Grabbers alike, unlocking productivity and new ways to solve problems that were previously considered either too difficult or impossible to solve. The product supports multiple Language Learning Models (LLMs), enabling users to choose the model that best fits their needs for style, complexity, and other factors. Additionally, GrabGPT empowers different personas, especially no/low code users, to experiment with and implement AI solutions for their everyday tasks",GrabGPT is a productivity tool that uses Generative AI to help users generate images and perform data analysis through a conversational interface,ai_machine_learning,,,,https://aihome.grab.com/grabgpt,,,https://aihome.grab.com/grabgpt,,
TRUE,GrabX,grabx,/grabx,"GrabX is Grab's internal tool designed for configuration and deployment management. It plays a crucial role in managing various aspects of the deployment process, including handling provisioning and deprovisioning, and ensuring that configurations are correctly applied across different services. GrabX also integrates with other systems to control demand aggregation logic by vehicle type, which helps in optimizing the allocation rate and reducing potential risks associated with rolling out new aggregation logic","GrabX is an internal tool at Grab used for configuration and deployment management, ensuring efficient handling of provisioning, deprovisioning, and demand aggregation logic",analytics,grab-x,https://grab.enterprise.slack.com/archives/C543VR9HT,@oncall-experimentation-platform,https://experiments.stg-myteksi.com/,grabx_stg,platform:grabx,https://experiments.grab.com/,grabx_planner,platform:grabx
TRUE,Grafana,grafana,/grafana,Grafana is an open-source platform for monitoring and observability.,Grafana is an open-source platform for monitoring and observability,observability,,,,https://grafana.stg-myteksi.com,,,https://grafana.conduit.cauldron.myteksi.net/,,
TRUE,Helix,helix,/helix,Helix is built on top of Backstage and attempts to be the single interface for all engineers via ‘plugins’.,Engineering interface,management_governance,,,, https://helix-staging.stg.nexus.int.engtools.net/,,,https://helix.engtools.net/,,
TRUE,Hubble,hubble,/hubble,Hubble is an open-source platform for network observability and security.,Network observability,management_governance,,,,https://hubble.staging.data-engineering.myteksi.net/,,, https://hubble.data-engineering.myteksi.net,,
TRUE,Hugo,hugo,/hugo,"OneDE Hugo is a platform integrated within the OneDE ecosystem, designed to facilitate the creation and management of static sites. It leverages the Hugo static site generator, which is written in Go, to provide a robust and efficient solution for building static websites. OneDE Hugo aims to streamline the process of static site generation and deployment, making it easier for users to manage their web content",OneDE Hugo is a platform for creating and managing static sites using the Hugo static site generator,"etl, analytics",,,,https://hugo.staging.data-engineering.myteksi.net/,,,https://hugo.prod.data-engineering.myteksi.net/,,
TRUE,Iris,iris,/iris,Iris is a platform for managing and monitoring Spark jobs.,Spark job management and monitoring platform.,"analytics, observability",,,,https://one-de.staging.data-engineering.myteksi.net/iris,,,https://one-de.prod.data-engineering.myteksi.net/iris,,
TRUE,Lighthouse,lighthouse,/lighthouse,Lighthouse is a platform for managing and monitoring data pipelines.,Data pipeline management and monitoring platform.,"analytics, observability",,,,https://lighthouse-api.staging.data-engineering.myteksi.net,,,https://lighthouse-api.prod.data-engineering.myteksi.net,,
TRUE,Loki,loki,/loki,Loki is a dynamic mock server for testing both Android and iOS mobile applications at Grab,Log management and monitoring platform.,"testing, mobile",,,,http://techdocs.grab.com/loki/,,,http://techdocs.grab.com/loki/,,
TRUE,Marionette,marionette,/marionette,"Marionette is a platform to simulate the ordering process, allowing users to place orders with a passenger, get orders with a driver, and complete orders.",Order simulation platform.,testing,,,,https://marionette-api.stg-myteksi.com,,,https://marionette-api.stg-myteksi.com/,,
TRUE,MEKS,meks,/meks,"Managed EKS (MEKS) is Grab's standardized solution for Kubernetes deployments on AWS. It provides a consistent process for deploying containerized applications, addressing gaps in existing pipelines, and easing transitions for teams. MEKS supports both Go monorepo and non-monorepo services, offering features like faster autoscaling, improved maintainability, and cost reduction through resource sharing. It integrates with various platforms to ensure secure and efficient service communication",MEKS is Grab's standardized solution for Kubernetes deployments on AWS,"compute, devops",,,,https://helix.engtools.net/catalog/default/component/managed-eks/docs,,,https://helix.engtools.net/catalog/default/component/managed-eks/docs,,
TRUE,MIDAS,midas,/midas,"The MIDAS portal is an integrated platform designed to streamline the onboarding and management of metrics at Grab. It allows users to register both real-time and offline metrics from various source databases, such as Pinot and Datalake, into MIDAS' metric catalog. This enables the metrics to be reused across different platforms like MarketWatch, GrabX, and SuperSet. The portal aims to provide an end-to-end graphical user interface (GUI) flow for metric onboarding, reducing the need for manual intervention by MIDAS engineers. The primary objective is to migrate users from legacy systems like ASI to the more scalable and maintainable MIDAS stack, enhancing the overall user experience and efficiency in metric management.",A portal for managing and monitoring metrics at Grab,,ask-midas,https://grab.enterprise.slack.com/archives/C03LBSQ1TH8,oncall-midas,https://midas.stg-myteksi.com/,midas-portal-stg,platform:midas,https://midas.grab.com,midas-portal,platform:midas
TRUE,Middle Earth,middle earth,/middle_earth,"Middle Earth is an extensible and flexible testing platform based on docker containers. It allows users to run various test types, including functional and end-to-end tests, by creating and managing test buckets. Middle Earth integrates with the Gandalf test automation framework and supports scheduling and triggering test executions, providing detailed results and notifications",Extensible testing platform for running various test types using docker containers.,testing,,,,https://helix.engtools.net/test-execution/buckets,,,https://helix.engtools.net/test-execution/buckets,,
TRUE,OdinX,odinx,/odinx,OdinX is a tool built for the purpose of setting up a local mocked environment easily via a few CLI commands. this is especially useful for developers to test their changes locally,"OdinX is a tool for quickly setting up a local mocked environment with a few CLI commands, ideal for developers testing changes locally",testing,,,,https://helix.engtools.net/docs/default/component/odin,,,https://helix.engtools.net/docs/default/component/odin,,
TRUE,OpenDashboards,opendashboards,/opendashboards,"OpenDashboards is a monitoring platform used at Grab to visualize and analyze various metrics and logs. It provides a centralized interface for creating and managing dashboards that display real-time data from multiple sources. OpenDashboards supports a wide range of visualizations and integrates with other tools like Datadog and Kibana, making it easier for teams to monitor system performance, detect anomalies, and troubleshoot issues efficiently",OpenDashboards is Grab's monitoring platform for visualizing and analyzing metrics and logs in real-time,observability,,,,https://kibana.stg-myteksi.com,,,https://kibana.myteksi.net/app/,,
TRUE,Orbit,orbit,/orbit,"Orbit is Grab's centralized Budget Management Tool designed to simplify the budgeting process for tech teams. It addresses challenges faced during the annual tech budgeting cycle by providing a streamlined platform for budget preparation, review, and adjustment. Orbit focuses on cloud-related expenses and aims to enhance user experience through features like budget variance monitoring and cloud spend optimization. Future enhancements include budget transfers and improved latency tracking.","Orbit is Grab's tool for managing tech budgets, simplifying the process through a centralized platform focused on cloud expenses",management_governance,,,,https://orbit.stg-myteksi.com/,,,https://orbit.grab.com/,,
TRUE,Porta,porta,/porta,"Porta is a centralized platform for managing and automating access requests to various data resources within Grab. It streamlines the process of granting and revoking access, ensuring compliance and security.",Centralized access management platform,identity_access,,,,https://porta.stg.grab.com/,,,https://porta.grab.com/,,
TRUE,Presto Monitor,presto monitor,/presto_monitor,"Presto Monitor is a centralized platform for tracking and analyzing Presto queries and performance metrics. It captures comprehensive metadata and performance metrics for every SQL query executed within the Presto framework. This platform is essential for monitoring, auditing, and optimizing query performance, aiding in cost allocation and resource management in cloud environments. It provides insights into query efficiency, user activity, and system health, making it valuable for system administrators, data analysts, and engineers. Key features include tracking query execution status, capturing resource utilization metrics, and providing detailed information on table access patterns",Centralized monitoring platform for Presto queries and performance metrics.,"analytics, observability",,,,https://one-de.staging.data-engineering.myteksi.net/presto-monitor/queries,,,https://one-de.prod.data-engineering.myteksi.net/presto-monitor/queries,,
TRUE,QuickSilver,quicksilver,/quicksilver,QuickSilver (QS) is a tool provided by Data Engineers to interact with the Hive metastore. It is primarily used for creating external tables and registering partitions for external tables. QS is utilized for all data imported from external sources via SFTP or API.,Tool for creating external tables and registering partitions in Hive metastore.,"management_governance, databases_storage",,,,https://one-de.staging.data-engineering.myteksi.net/quicksilver/catalog,,,https://one-de.prod.data-engineering.myteksi.net/quicksilver/catalog,,
TRUE,S3,s3,/s3,"Transformer S3 is a platform at Grab designed to manage the lifecycle of S3 buckets. It ensures that all infrastructure changes are validated, security rules are enforced, and best practices are followed. The platform automates approvals when possible and provides user-friendly interfaces for manual approvals. It supports tagging and ownership management, ensuring compliance with security policies and efficient resource management","Transformer S3 is a platform for managing the lifecycle of S3 buckets, enforcing security rules, and automating approvals",databases_storage,,,,https://transformer.myteksi.net/s3,,,https://transformer.myteksi.net/s3,,
TRUE,Scribe,scribe,/scribe,"The Scribe Portal is a web-based platform used within Grab to manage and monitor events and parameters related to various applications. It provides functionalities such as event registration, event validation, and parameter viewing. Users can filter events by app version, view trends, and manage favorite events. The portal also includes features for bulk and single event claims, and it supports various UI updates and bug fixes over time. The Scribe Portal is essential for tracking event health, automating workflows, and ensuring accurate instrumentation across different app versions",A portal for managing and monitoring events and parameters related to various applications,,ask-scribe,https://grab.enterprise.slack.com/archives/C051MEW3C68,oncall-scribe,https://scribe.stg-myteksi.com,scribe-portal,platform:scribe,https://scribe.grab.com,scribe-portal,platform:scribe
TRUE,Slide,slide,/slide,"Slide is a data analytics platform that allows users to create, manage, and execute data processing jobs. It integrates with various data sources and provides tools for data visualization and reporting",Data analytics and processing platform,analytics,,,,https://slide.stg.grab.com/,,, https://slide.grab.com,,
TRUE,SMI,smi,/smi,"SMI (Service Mesh Interface) is a configuration management system at Grab that facilitates the management of service-to-service communication within the infrastructure. It provides a standardized way to define and manage service dependencies, security group rules, and network connectivity. SMI integrates with various platforms to ensure secure and efficient communication between services, supporting both HTTP and gRPC protocols. It is designed to streamline the configuration process and enhance the stability and security of service interactions",SMI is Grab's configuration management system for managing service-to-service communication and dependencies,"networking, security",,,,https://grabtaxi.atlassian.net/wiki/spaces/TI/pages/289603586/Service+Mesh+Home,,,https://grabtaxi.atlassian.net/wiki/spaces/TI/pages/289603586/Service+Mesh+Home,,
TRUE,Sourcegraph,sourcegraph,/sourcegraph,"Sourcegraph is Grab's code search and intelligence tool that helps developers understand, write, and fix code faster. It provides advanced search capabilities across local and remote codebases, enabling users to find and manage code efficiently. Sourcegraph supports features like batch changes for large-scale code modifications, integration with IDEs, and AI-powered coding assistance through Cody. It enhances productivity by offering insights into APIs, symbols, and usage patterns across the entire codebase","Sourcegraph is Grab's code search and intelligence tool that enhances developer productivity with advanced search, batch changes, and AI-powered coding assistance","devops, management_governance, source_code_management",,,,https://sourcegraph.stg.engtools.net/,,,https://sourcegraph.engtools.net/,,
TRUE,SparkOne,sparkone,/sparkone,SparkOne is a seamless serverless Spark experience built on top of both enterprise and open-source Spark offerings. It allows users to leverage the best of Apache Spark and enterprise variants like AWS EMR and Databricks. SparkOne simplifies operational load by automatically managing job distribution across these platforms and optimizing configurations to enhance reliability and reduce costs. It supports REST APIs for job submission and is integrated with tools like Cauldron's MLP and Apache Airflow,"SparkOne is a serverless Spark platform that optimizes job distribution and configurations across Apache Spark, AWS EMR, and Databricks, simplifying operations and reducing costs","ai_machine_learning, analytics, compute",,,,https://grabtaxi.atlassian.net/wiki/spaces/TI/pages/315181270/SparkOne,,,https://grabtaxi.atlassian.net/wiki/spaces/TI/pages/315181270/SparkOne,,
TRUE,Splunk Oncall,splunk oncall,/splunk_oncall,"Splunk Oncall is an incident management and response platform at Grab, designed to help DevOps, IT operations, and engineering teams manage and resolve incidents efficiently. It provides real-time alerting, on-call scheduling, and collaboration tools to streamline the incident response process and reduce downtime. The platform integrates with various monitoring, logging, and observability tools, ensuring that alerts are processed based on predefined rules and filters to prioritize critical incidents","Splunk Oncall is Grab's incident management platform for real-time alerting, on-call scheduling, and efficient incident resolution","observability, devops",,,,https://portal.victorops.com/auth/sso/grabtaxi,,,https://portal.victorops.com/auth/sso/grabtaxi,,
TRUE,Superset,superset,/superset,"Superset is a modern data exploration and visualization platform used at Grab. It allows users to create charts and dashboards by querying data from various sources such as AWS and Azure Data Lake. Superset offers a no-code interface for building charts, a powerful SQL editor for advanced querying, and a lightweight semantic layer for defining custom dimensions and metrics. It supports a wide array of visualizations and provides a cloud-native architecture designed for scalability","Superset is Grab's data exploration and visualization platform, offering advanced querying, custom metrics, and a variety of visualizations","observability, analytics",,,,https://superset.data-engineering.myteksi.net/,,,https://superset.data-engineering.myteksi.net/,,
TRUE,Terraform,terraform,/terraform,"Terraform is an Infrastructure as Code (IaC) tool that allows users to define and provision data center infrastructure using a high-level configuration language. It supports a wide range of cloud providers and services, enabling the management of both low-level components like compute instances and high-level components like DNS entries. Terraform generates an execution plan, applies it, and can manage changes incrementally, ensuring infrastructure is always in the desired state",Terraform is an IaC tool for defining and provisioning infrastructure across various cloud providers,"devops, networking",,,,https://helix.engtools.net/docs/default/Component/terraform,,,https://helix.engtools.net/docs/default/Component/terraform,,
TRUE,UCM,ucm,/ucm,UCM (Universal Config Manager) is a platform used for managing various configurations and settings related to provisional submissions. It includes features such as reminders for submission expiry and cron job schedules for handling expired submissions,Configuration management for provisional submissions,config_management,,,,https://helix.engtools.net/ucm,,,https://helix.engtools.net/ucm,,
TRUE,Vault,vault,/vault,"Vault is a secure secret management tool used at Grab to store and manage sensitive information such as tokens, passwords, certificates, and encryption keys. It integrates with various services to provide secure access to secrets, ensuring that sensitive data is protected and only accessible to authorized entities. Vault supports multiple authentication methods, including AWS EC2 and Kubernetes, and is used in conjunction with tools like UCM for configuration management and secret decryption","Vault is Grab's secure secret management tool for storing and managing sensitive information, integrating with services to ensure secure access","security, config_management",,,,https://vault-ui.stg-myteksi.com/ui/,,,https://vault-ui.myteksi.net/,,
TRUE,Web-kit,web-kit,/web_kit,"WebKit is a web development platform at Grab that provides tools and resources for building and managing web applications. It offers a comprehensive suite of features including a robust framework, libraries, and APIs to streamline the development process. WebKit supports integration with various services and ensures that web applications are scalable, secure, and performant. It is designed to enhance developer productivity and facilitate the creation of high-quality web applications",WebKit is Grab's web development platform offering tools and resources for building and managing web applications,web-development,,,,https://helix.engtools.net/docs/default/Component/web-kit/00_what_is_web_kit,,,https://helix.engtools.net/docs/default/Component/web-kit/00_what_is_web_kit,,
TRUE,Yamato,yamato,/yamato,Yamato is a platform tool provided by Coban for developing Flink SQL queries within a notebook environment. It is designed to facilitate the development of stream processing applications by allowing users to explore data and write SQL queries without needing to set up a local environment,"The platform supports the entire lifecycle of stream processing application development, including data exploration, productionizing SQL, and updating SQL as business logic evolves.",analytics,,,,http://techdocs.grab.com/yamato/,,,http://techdocs.grab.com/yamato/,,
TRUE,Yoshi,yoshi,/yoshi,"Yoshi is a tool to automate the journey of service owners to onboard their existing service or even a new service to EKS. In the future, Yoshi may implement additional workflows. Currently, Yoshi automates the following workflows: onboarding existing GT backend monorepo services to EKS and creating a new service for non-monorepo GT and GFin backend services. Yoshi requires requester manager's approval before fulfilling a request. It also supports other teams who want to add their automation steps when onboarding a new service. For more details, refer to the Contributor guideline",Tool for automating the onboarding of services to EKS,"compute, devops",,,,https://helix.engtools.net/catalog/default/component/yoshi,,,https://helix.engtools.net/catalog/default/component/yoshi,,
TRUE,Workspace Manager,workspace manager,/workspace_manager,"The Workspace Manager UI is a centralized interface for creating and managing workspaces. It allows users to create new workspaces, optionally limit platforms, and automatically scaffold resources across platforms. It also provides workspace details, access management, and ownership transfers. It is integrated into Console and uses Helix as its data layer",The centralized tool for creating and managing data workspaces,"ai_machine_learning, analytics",,,,https://workspace-manager.stg-myteksi.com/,workspace-manager-ui-stg,,https://workspace-manager.grab.com/,workspace-manager-ui-prd,