Platform Category,Category Description,Platform List,Platform Description,domain_id
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",AIHome,AIHome is a platform for managing AI-related tools and resources.,ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",AIP,"AI Home is a management UI for builder teams at Grab to navigate the tech ecosystem. It consolidates various platforms and tools, such as Cauldron Web, GitLab, and others, into a single interface. AI Home is designed to streamline the user experience by providing a central point for accessing and managing AI-related resources, including notebooks, jobs, and features. It aims to reduce the complexity and disjointed user experience caused by multiple overlapping platforms",ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",Airflow,Airflow is a platform for orchestrating complex workflows and data pipelines.,ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",Databricks,"Databricks is a data analytics platform that provides a unified analytics engine for big data and machine learning.",ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",GrabGPT,"GrabGPT is a general-purpose productivity tool, primarily aimed at providing a user-friendly chat-based interface that allows users to generate images using text prompts. It opens up the capabilities of Generative AI to tech and non-tech Grabbers alike, unlocking productivity and new ways to solve problems that were previously considered either too difficult or impossible to solve. The product supports multiple Language Learning Models (LLMs), enabling users to choose the model that best fits their needs for style, complexity, and other factors. Additionally, GrabGPT empowers different personas, especially no/low code users, to experiment with and implement AI solutions for their everyday tasks",ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",SparkOne,"SparkOne is a seamless serverless Spark experience built on top of both enterprise and open-source Spark offerings. It allows users to leverage the best of Apache Spark and enterprise variants like AWS EMR and Databricks. SparkOne simplifies operational load by automatically managing job distribution across these platforms and optimizing configurations to enhance reliability and reduce costs. It supports REST APIs for job submission and is integrated with tools like Cauldron's MLP and Apache Airflow",ai_machine_learning
AI + Machine Learning,"Build, train, and deploy AI models with platform tools that integrate machine learning capabilities into your apps.",Workspace Manager,"The Workspace Manager UI is a centralized interface for creating and managing workspaces. It allows users to create new workspaces, optionally limit platforms, and automatically scaffold resources across platforms. It also provides workspace details, access management, and ownership transfers. It is integrated into Console and uses Helix as its data layer",ai_machine_learning
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",AIHome,AIHome is a platform for managing AI-related tools and resources.,analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",AIP,"AI Home is a management UI for builder teams at Grab to navigate the tech ecosystem. It consolidates various platforms and tools, such as Cauldron Web, GitLab, and others, into a single interface. AI Home is designed to streamline the user experience by providing a central point for accessing and managing AI-related resources, including notebooks, jobs, and features. It aims to reduce the complexity and disjointed user experience caused by multiple overlapping platforms",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Airflow,Airflow is a platform for orchestrating complex workflows and data pipelines.,analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Dash,"Dash - A tool to analyze and process datasets, providing actionable insights and data visualization.",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Data Curator,Data Curator - Manage and analyze datasets to deliver key business insights for strategic decisions.,analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Databricks,"Databricks is a data analytics platform that provides a unified analytics engine for big data and machine learning.",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",GrabX,"GrabX is Grab's internal tool designed for configuration and deployment management. It plays a crucial role in managing various aspects of the deployment process, including handling provisioning and deprovisioning, and ensuring that configurations are correctly applied across different services. GrabX also integrates with other systems to control demand aggregation logic by vehicle type, which helps in optimizing the allocation rate and reducing potential risks associated with rolling out new aggregation logic",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Hugo,"OneDE Hugo is a platform integrated within the OneDE ecosystem, designed to facilitate the creation and management of static sites. It leverages the Hugo static site generator, which is written in Go, to provide a robust and efficient solution for building static websites. OneDE Hugo aims to streamline the process of static site generation and deployment, making it easier for users to manage their web content",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Iris,Iris is a platform for managing and monitoring Spark jobs.,analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Lighthouse,Lighthouse is a platform for managing and monitoring data pipelines.,analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",MIDAS,"The MIDAS portal is an integrated platform designed to streamline the onboarding and management of metrics at Grab. It allows users to register both real-time and offline metrics from various source databases, such as Pinot and Datalake, into MIDAS' metric catalog. This enables the metrics to be reused across different platforms like MarketWatch, GrabX, and SuperSet. The portal aims to provide an end-to-end graphical user interface (GUI) flow for metric onboarding, reducing the need for manual intervention by MIDAS engineers. The primary objective is to migrate users from legacy systems like ASI to the more scalable and maintainable MIDAS stack, enhancing the overall user experience and efficiency in metric management.",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Mystique,Mystique - A platform to analyze data and transform it into actionable strategic insights.,analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Presto Monitor,"Presto Monitor is a centralized platform for tracking and analyzing Presto queries and performance metrics. It captures comprehensive metadata and performance metrics for every SQL query executed within the Presto framework. This platform is essential for monitoring, auditing, and optimizing query performance, aiding in cost allocation and resource management in cloud environments. It provides insights into query efficiency, user activity, and system health, making it valuable for system administrators, data analysts, and engineers. Key features include tracking query execution status, capturing resource utilization metrics, and providing detailed information on table access patterns",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Slide,"Slide is a data analytics platform that allows users to create, manage, and execute data processing jobs. It integrates with various data sources and provides tools for data visualization and reporting",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",SparkOne,"SparkOne is a seamless serverless Spark experience built on top of both enterprise and open-source Spark offerings. It allows users to leverage the best of Apache Spark and enterprise variants like AWS EMR and Databricks. SparkOne simplifies operational load by automatically managing job distribution across these platforms and optimizing configurations to enhance reliability and reduce costs. It supports REST APIs for job submission and is integrated with tools like Cauldron's MLP and Apache Airflow",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Superset,"Superset is a modern data exploration and visualization platform used at Grab. It allows users to create charts and dashboards by querying data from various sources such as AWS and Azure Data Lake. Superset offers a no-code interface for building charts, a powerful SQL editor for advanced querying, and a lightweight semantic layer for defining custom dimensions and metrics. It supports a wide array of visualizations and provides a cloud-native architecture designed for scalability",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Yamato,"Yamato is a platform tool provided by Coban for developing Flink SQL queries within a notebook environment. It is designed to facilitate the development of stream processing applications by allowing users to explore data and write SQL queries without needing to set up a local environment",analytics
Analytics,"Use tools to process and analyse large datasets, transforming data into actionable insights.",Workspace Manager,"The Workspace Manager UI is a centralized interface for creating and managing workspaces. It allows users to create new workspaces, optionally limit platforms, and automatically scaffold resources across platforms. It also provides workspace details, access management, and ownership transfers. It is integrated into Console and uses Helix as its data layer",analytics
Cloud Provider,Build and scale apps using a comprehensive cloud platform with global infrastructure and services.,AWS,AWS provides a suite of cloud computing services.,cloud_provider
Compute,"Access scalable computing resources to run workloads, including high-performance and ML tasks.",Airflow,Airflow is a platform for orchestrating complex workflows and data pipelines.,compute
Compute,"Access scalable computing resources to run workloads, including high-performance and ML tasks.",MEKS,"Managed EKS (MEKS) is Grab's standardized solution for Kubernetes deployments on AWS. It provides a consistent process for deploying containerized applications, addressing gaps in existing pipelines, and easing transitions for teams. MEKS supports both Go monorepo and non-monorepo services, offering features like faster autoscaling, improved maintainability, and cost reduction through resource sharing. It integrates with various platforms to ensure secure and efficient service communication",compute
Compute,"Access scalable computing resources to run workloads, including high-performance and ML tasks.",SparkOne,"SparkOne is a seamless serverless Spark experience built on top of both enterprise and open-source Spark offerings. It allows users to leverage the best of Apache Spark and enterprise variants like AWS EMR and Databricks. SparkOne simplifies operational load by automatically managing job distribution across these platforms and optimizing configurations to enhance reliability and reduce costs. It supports REST APIs for job submission and is integrated with tools like Cauldron's MLP and Apache Airflow",compute
Compute,"Access scalable computing resources to run workloads, including high-performance and ML tasks.",Yoshi,"Yoshi is a tool to automate the journey of service owners to onboard their existing service or even a new service to EKS. In the future, Yoshi may implement additional workflows. Currently, Yoshi automates the following workflows: onboarding existing GT backend monorepo services to EKS and creating a new service for non-monorepo GT and GFin backend services. Yoshi requires requester manager's approval before fulfilling a request. It also supports other teams who want to add their automation steps when onboarding a new service. For more details, refer to the Contributor guideline",compute
Config Management,Automate and manage infrastructure configuration for consistency and efficiency across environments.,CDP,"The Customer Data Platform (CDP) at Grab is a unified system that provides a comprehensive and consistent view of users. It merges and evolves from previous systems like SegP and C360 to offer a marketplace of reliable and reusable user attributes. These attributes are essential for user personalization, targeting, and analysis. CDP supports the creation, management, and discovery of user attributes through advanced tooling, APIs, and integrations. It is widely used across Grab, with over 60 services and 9 platforms integrated, including GrabX, Trident, and Ads."",config_management
Config Management,Automate and manage infrastructure configuration for consistency and efficiency across environments.,UCM,"UCM (Universal Config Manager) is a platform used for managing various configurations and settings related to provisional submissions. It includes features such as reminders for submission expiry and cron job schedules for handling expired submissions",config_management
Config Management,Automate and manage infrastructure configuration for consistency and efficiency across environments.,Vault,"Vault is a secure secret management tool used at Grab to store and manage sensitive information such as tokens, passwords, certificates, and encryption keys. It integrates with various services to provide secure access to secrets, ensuring that sensitive data is protected and only accessible to authorized entities. Vault supports multiple authentication methods, including AWS EC2 and Kubernetes, and is used in conjunction with tools like UCM for configuration management and secret decryption",config_management
Containers,Develop and manage containerised applications with tools for orchestration and lifecycle management.,Artifactory,"Artifactory is a repository manager for storing and managing binary artifacts.",containers
Containers,Develop and manage containerised applications with tools for orchestration and lifecycle management.,Gitlab,GitLab is a repository hosting service for storing code and other artifacts.,containers
Databases,"Manage and scale databases with integrated tools for secure, high-availability data management.",Doorman,Doorman is a database platform offering connectivity flows for Firefly accounts.,databases
Databases,"Manage and scale databases with integrated tools for secure, high-availability data management.",QuickSilver,QuickSilver (QS) is a tool provided by Data Engineers to interact with the Hive metastore. It is primarily used for creating external tables and registering partitions for external tables. QS is utilized for all data imported from external sources via SFTP or API.,databases
Databases,"Manage and scale databases with integrated tools for secure, high-availability data management.",S3,"Transformer S3 is a platform at Grab designed to manage the lifecycle of S3 buckets. It ensures that all infrastructure changes are validated, security rules are enforced, and best practices are followed. The platform automates approvals when possible and provides user-friendly interfaces for manual approvals. It supports tagging and ownership management, ensuring compliance with security policies and efficient resource management",databases
DevOps,Automate development and deployment workflows with DevOps tools for streamlined collaboration.,Conveyor,Conveyor is a platform for orchestrating complex workflows and data pipelines.,devops
DevOps,Automate development and deployment workflows with DevOps tools for streamlined collaboration.,Gitlab,GitLab is a repository hosting service for storing code and other artifacts.,devops
DevOps,Automate development and deployment workflows with DevOps tools for streamlined collaboration.,MEKS,"Managed EKS (MEKS) is Grab's standardized solution for Kubernetes deployments on AWS. It provides a consistent process for deploying containerized applications, addressing gaps in existing pipelines, and easing transitions for teams. MEKS supports both Go monorepo and non-monorepo services, offering features like faster autoscaling, improved maintainability, and cost reduction through resource sharing. It integrates with various platforms to ensure secure and efficient service communication",devops
DevOps,Automate development and deployment,,,devops